Number: 2, Binary: 10, Hexadecimal: 2
Number: 20, Binary: 10100, Hexadecimal: 14
Number: 688, Binary: 1010110000, Hexadecimal: 2B0
Number: 379, Binary: 101111011, Hexadecimal: 17B
Number: 90, Binary: 1011010, Hexadecimal: 5A
Number: 272, Binary: 100010000, Hexadecimal: 110
Number: 499, Binary: 111110011, Hexadecimal: 1F3
Number: 626, Binary: 1001110010, Hexadecimal: 272
Number: 747, Binary: 1011101011, Hexadecimal: 2EB
Number: 928, Binary: 1110100000, Hexadecimal: 3A0
Number: 920, Binary: 1110011000, Hexadecimal: 398
Number: 516, Binary: 1000000100, Hexadecimal: 204
Number: 715, Binary: 1011001011, Hexadecimal: 2CB
Number: 220, Binary: 11011100, Hexadecimal: DC
Number: 165, Binary: 10100101, Hexadecimal: A5
Number: 650, Binary: 1010001010, Hexadecimal: 28A
Number: 984, Binary: 1111011000, Hexadecimal: 3D8
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 689, Binary: 1010110001, Hexadecimal: 2B1
Number: 490, Binary: 111101010, Hexadecimal: 1EA
Number: 593, Binary: 1001010001, Hexadecimal: 251
Number: 986, Binary: 1111011010, Hexadecimal: 3DA
Number: 780, Binary: 1100001100, Hexadecimal: 30C
Number: 646, Binary: 1010000110, Hexadecimal: 286
Number: 798, Binary: 1100011110, Hexadecimal: 31E
Number: 48, Binary: 110000, Hexadecimal: 30
Number: 217, Binary: 11011001, Hexadecimal: D9
Number: 873, Binary: 1101101001, Hexadecimal: 369
Number: 331, Binary: 101001011, Hexadecimal: 14B
Number: 6, Binary: 110, Hexadecimal: 6
Number: 706, Binary: 1011000010, Hexadecimal: 2C2
Number: 770, Binary: 1100000010, Hexadecimal: 302
Number: 433, Binary: 110110001, Hexadecimal: 1B1
Number: 853, Binary: 1101010101, Hexadecimal: 355
Number: 586, Binary: 1001001010, Hexadecimal: 24A
Number: 968, Binary: 1111001000, Hexadecimal: 3C8
Number: 559, Binary: 1000101111, Hexadecimal: 22F
Number: 216, Binary: 11011000, Hexadecimal: D8
Number: 47, Binary: 101111, Hexadecimal: 2F
Number: 70, Binary: 1000110, Hexadecimal: 46
Number: 950, Binary: 1110110110, Hexadecimal: 3B6
Number: 58, Binary: 111010, Hexadecimal: 3A
Number: 710, Binary: 1011000110, Hexadecimal: 2C6
Number: 35, Binary: 100011, Hexadecimal: 23
Number: 209, Binary: 11010001, Hexadecimal: D1
Number: 111, Binary: 1101111, Hexadecimal: 6F
Number: 493, Binary: 111101101, Hexadecimal: 1ED
Number: 914, Binary: 1110010010, Hexadecimal: 392
Number: 459, Binary: 111001011, Hexadecimal: 1CB
Number: 133, Binary: 10000101, Hexadecimal: 85
Number: 517, Binary: 1000000101, Hexadecimal: 205
Number: 317, Binary: 100111101, Hexadecimal: 13D
Number: 768, Binary: 1100000000, Hexadecimal: 300
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: 973, Binary: 1111001101, Hexadecimal: 3CD
Number: 386, Binary: 110000010, Hexadecimal: 182
Number: 906, Binary: 1110001010, Hexadecimal: 38A
Number: 432, Binary: 110110000, Hexadecimal: 1B0
Number: 60, Binary: 111100, Hexadecimal: 3C
Number: 398, Binary: 110001110, Hexadecimal: 18E
Number: 624, Binary: 1001110000, Hexadecimal: 270
Number: 882, Binary: 1101110010, Hexadecimal: 372
Number: 477, Binary: 111011101, Hexadecimal: 1DD
Number: 814, Binary: 1100101110, Hexadecimal: 32E
Number: 848, Binary: 1101010000, Hexadecimal: 350
Number: 368, Binary: 101110000, Hexadecimal: 170
Number: 809, Binary: 1100101001, Hexadecimal: 329
Number: 276, Binary: 100010100, Hexadecimal: 114
Number: 466, Binary: 111010010, Hexadecimal: 1D2
Number: 583, Binary: 1001000111, Hexadecimal: 247
Number: 857, Binary: 1101011001, Hexadecimal: 359
Number: 363, Binary: 101101011, Hexadecimal: 16B
Number: 226, Binary: 11100010, Hexadecimal: E2
Number: 584, Binary: 1001001000, Hexadecimal: 248
Number: 649, Binary: 1010001001, Hexadecimal: 289
Number: 783, Binary: 1100001111, Hexadecimal: 30F
Number: 125, Binary: 1111101, Hexadecimal: 7D
Number: 919, Binary: 1110010111, Hexadecimal: 397
Number: 389, Binary: 110000101, Hexadecimal: 185
Number: 42, Binary: 101010, Hexadecimal: 2A
Number: 43, Binary: 101011, Hexadecimal: 2B
Number: 237, Binary: 11101101, Hexadecimal: ED
Number: 714, Binary: 1011001010, Hexadecimal: 2CA
Number: 677, Binary: 1010100101, Hexadecimal: 2A5
Number: 762, Binary: 1011111010, Hexadecimal: 2FA
Number: 855, Binary: 1101010111, Hexadecimal: 357
Number: 881, Binary: 1101110001, Hexadecimal: 371
Number: 104, Binary: 1101000, Hexadecimal: 68
Number: 129, Binary: 10000001, Hexadecimal: 81
Number: 832, Binary: 1101000000, Hexadecimal: 340
Number: 735, Binary: 1011011111, Hexadecimal: 2DF
Number: 656, Binary: 1010010000, Hexadecimal: 290
Number: 387, Binary: 110000011, Hexadecimal: 183
Number: 726, Binary: 1011010110, Hexadecimal: 2D6
Number: 242, Binary: 11110010, Hexadecimal: F2
Number: 575, Binary: 1000111111, Hexadecimal: 23F
Number: 995, Binary: 1111100011, Hexadecimal: 3E3
Number: 231, Binary: 11100111, Hexadecimal: E7
Number: 349, Binary: 101011101, Hexadecimal: 15D
Number: 413, Binary: 110011101, Hexadecimal: 19D
Number: 337, Binary: 101010001, Hexadecimal: 151
Number: 112, Binary: 1110000, Hexadecimal: 70
Number: 294, Binary: 100100110, Hexadecimal: 126
Number: 123, Binary: 1111011, Hexadecimal: 7B
Number: 755, Binary: 1011110011, Hexadecimal: 2F3
Number: 522, Binary: 1000001010, Hexadecimal: 20A
Number: 152, Binary: 10011000, Hexadecimal: 98
Number: 700, Binary: 1010111100, Hexadecimal: 2BC
Number: 911, Binary: 1110001111, Hexadecimal: 38F
Number: 589, Binary: 1001001101, Hexadecimal: 24D
Number: 792, Binary: 1100011000, Hexadecimal: 318
Number: 66, Binary: 1000010, Hexadecimal: 42
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 828, Binary: 1100111100, Hexadecimal: 33C
Number: 50, Binary: 110010, Hexadecimal: 32
Number: 672, Binary: 1010100000, Hexadecimal: 2A0
Number: 143, Binary: 10001111, Hexadecimal: 8F
Number: 997, Binary: 1111100101, Hexadecimal: 3E5
Number: 139, Binary: 10001011, Hexadecimal: 8B
Number: 745, Binary: 1011101001, Hexadecimal: 2E9
Number: 754, Binary: 1011110010, Hexadecimal: 2F2
Number: 367, Binary: 101101111, Hexadecimal: 16F
Number: 307, Binary: 100110011, Hexadecimal: 133
Number: 228, Binary: 11100100, Hexadecimal: E4
Number: 380, Binary: 101111100, Hexadecimal: 17C
Number: 287, Binary: 100011111, Hexadecimal: 11F
Number: 795, Binary: 1100011011, Hexadecimal: 31B
Number: 145, Binary: 10010001, Hexadecimal: 91
Number: 359, Binary: 101100111, Hexadecimal: 167
Number: 887, Binary: 1101110111, Hexadecimal: 377
Number: 172, Binary: 10101100, Hexadecimal: AC
Number: 350, Binary: 101011110, Hexadecimal: 15E
Number: 283, Binary: 100011011, Hexadecimal: 11B
Number: 279, Binary: 100010111, Hexadecimal: 117
Number: 51, Binary: 110011, Hexadecimal: 33
Number: 657, Binary: 1010010001, Hexadecimal: 291
Number: 744, Binary: 1011101000, Hexadecimal: 2E8
Number: 467, Binary: 111010011, Hexadecimal: 1D3
Number: 849, Binary: 1101010001, Hexadecimal: 351
Number: 931, Binary: 1110100011, Hexadecimal: 3A3
Number: 373, Binary: 101110101, Hexadecimal: 175
Number: 909, Binary: 1110001101, Hexadecimal: 38D
Number: 332, Binary: 101001100, Hexadecimal: 14C
Number: 596, Binary: 1001010100, Hexadecimal: 254
Number: 777, Binary: 1100001001, Hexadecimal: 309
Number: 709, Binary: 1011000101, Hexadecimal: 2C5
Number: 325, Binary: 101000101, Hexadecimal: 145
Number: 191, Binary: 10111111, Hexadecimal: BF
Number: 531, Binary: 1000010011, Hexadecimal: 213
Number: 739, Binary: 1011100011, Hexadecimal: 2E3
Number: 720, Binary: 1011010000, Hexadecimal: 2D0
Number: 74, Binary: 1001010, Hexadecimal: 4A
Number: 585, Binary: 1001001001, Hexadecimal: 249
Number: 816, Binary: 1100110000, Hexadecimal: 330
Number: 667, Binary: 1010011011, Hexadecimal: 29B
Number: 199, Binary: 11000111, Hexadecimal: C7
Number: 79, Binary: 1001111, Hexadecimal: 4F
Number: 765, Binary: 1011111101, Hexadecimal: 2FD
Number: 148, Binary: 10010100, Hexadecimal: 94
Number: 980, Binary: 1111010100, Hexadecimal: 3D4
Number: 421, Binary: 110100101, Hexadecimal: 1A5
Number: 55, Binary: 110111, Hexadecimal: 37
Number: 573, Binary: 1000111101, Hexadecimal: 23D
Number: 395, Binary: 110001011, Hexadecimal: 18B
Number: 422, Binary: 110100110, Hexadecimal: 1A6
Number: 7, Binary: 111, Hexadecimal: 7
Number: 977, Binary: 1111010001, Hexadecimal: 3D1
Number: 318, Binary: 100111110, Hexadecimal: 13E
Number: 550, Binary: 1000100110, Hexadecimal: 226
Number: 630, Binary: 1001110110, Hexadecimal: 276
Number: 958, Binary: 1110111110, Hexadecimal: 3BE
Number: 293, Binary: 100100101, Hexadecimal: 125
Number: 616, Binary: 1001101000, Hexadecimal: 268
Number: 263, Binary: 100000111, Hexadecimal: 107
Number: 71, Binary: 1000111, Hexadecimal: 47
Number: 439, Binary: 110110111, Hexadecimal: 1B7
Number: 661, Binary: 1010010101, Hexadecimal: 295
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 923, Binary: 1110011011, Hexadecimal: 39B
Number: 358, Binary: 101100110, Hexadecimal: 166
Number: 989, Binary: 1111011101, Hexadecimal: 3DD
Number: 446, Binary: 110111110, Hexadecimal: 1BE
Number: 9, Binary: 1001, Hexadecimal: 9
Number: 3, Binary: 11, Hexadecimal: 3
Number: 890, Binary: 1101111010, Hexadecimal: 37A
Number: 393, Binary: 110001001, Hexadecimal: 189
Number: 297, Binary: 100101001, Hexadecimal: 129
Number: 250, Binary: 11111010, Hexadecimal: FA
Number: 159, Binary: 10011111, Hexadecimal: 9F
Number: 978, Binary: 1111010010, Hexadecimal: 3D2
Number: 57, Binary: 111001, Hexadecimal: 39
Number: 221, Binary: 11011101, Hexadecimal: DD
Number: 982, Binary: 1111010110, Hexadecimal: 3D6
Number: 625, Binary: 1001110001, Hexadecimal: 271
Number: 154, Binary: 10011010, Hexadecimal: 9A
Number: 935, Binary: 1110100111, Hexadecimal: 3A7
Number: 536, Binary: 1000011000, Hexadecimal: 218
Number: 833, Binary: 1101000001, Hexadecimal: 341
Number: 93, Binary: 1011101, Hexadecimal: 5D
Number: 284, Binary: 100011100, Hexadecimal: 11C
Number: 572, Binary: 1000111100, Hexadecimal: 23C
Number: 177, Binary: 10110001, Hexadecimal: B1
Number: 948, Binary: 1110110100, Hexadecimal: 3B4
Number: 91, Binary: 1011011, Hexadecimal: 5B
Number: 752, Binary: 1011110000, Hexadecimal: 2F0
Number: 685, Binary: 1010101101, Hexadecimal: 2AD
Number: 197, Binary: 11000101, Hexadecimal: C5
Number: 99, Binary: 1100011, Hexadecimal: 63
Number: 969, Binary: 1111001001, Hexadecimal: 3C9
Number: 352, Binary: 101100000, Hexadecimal: 160
Number: 843, Binary: 1101001011, Hexadecimal: 34B
Number: 485, Binary: 111100101, Hexadecimal: 1E5
Number: 741, Binary: 1011100101, Hexadecimal: 2E5
Number: 295, Binary: 100100111, Hexadecimal: 127
Number: 56, Binary: 111000, Hexadecimal: 38
Number: 498, Binary: 111110010, Hexadecimal: 1F2
Number: 353, Binary: 101100001, Hexadecimal: 161
Number: 96, Binary: 1100000, Hexadecimal: 60
Number: 313, Binary: 100111001, Hexadecimal: 139
Number: 314, Binary: 100111010, Hexadecimal: 13A
Number: 850, Binary: 1101010010, Hexadecimal: 352
Number: 943, Binary: 1110101111, Hexadecimal: 3AF
Number: 168, Binary: 10101000, Hexadecimal: A8
Number: 740, Binary: 1011100100, Hexadecimal: 2E4
Number: 440, Binary: 110111000, Hexadecimal: 1B8
Number: 275, Binary: 100010011, Hexadecimal: 113
Number: 866, Binary: 1101100010, Hexadecimal: 362
Number: 574, Binary: 1000111110, Hexadecimal: 23E
Number: 308, Binary: 100110100, Hexadecimal: 134
Number: 615, Binary: 1001100111, Hexadecimal: 267
Number: 336, Binary: 101010000, Hexadecimal: 150
Number: 164, Binary: 10100100, Hexadecimal: A4
Number: 813, Binary: 1100101101, Hexadecimal: 32D
Number: 355, Binary: 101100011, Hexadecimal: 163
Number: 356, Binary: 101100100, Hexadecimal: 164
Number: 892, Binary: 1101111100, Hexadecimal: 37C
Number: 529, Binary: 1000010001, Hexadecimal: 211
Number: 976, Binary: 1111010000, Hexadecimal: 3D0
Number: 405, Binary: 110010101, Hexadecimal: 195
Number: 40, Binary: 101000, Hexadecimal: 28
Number: 102, Binary: 1100110, Hexadecimal: 66
Number: 323, Binary: 101000011, Hexadecimal: 143
Number: 548, Binary: 1000100100, Hexadecimal: 224
Number: 595, Binary: 1001010011, Hexadecimal: 253
Number: 821, Binary: 1100110101, Hexadecimal: 335
Number: 702, Binary: 1010111110, Hexadecimal: 2BE
Number: 587, Binary: 1001001011, Hexadecimal: 24B
Number: 85, Binary: 1010101, Hexadecimal: 55
Number: 481, Binary: 111100001, Hexadecimal: 1E1
Number: 728, Binary: 1011011000, Hexadecimal: 2D8
Number: 361, Binary: 101101001, Hexadecimal: 169
Number: 880, Binary: 1101110000, Hexadecimal: 370
Number: 639, Binary: 1001111111, Hexadecimal: 27F
Number: 569, Binary: 1000111001, Hexadecimal: 239
Number: 274, Binary: 100010010, Hexadecimal: 112
Number: 372, Binary: 101110100, Hexadecimal: 174
Number: 751, Binary: 1011101111, Hexadecimal: 2EF
Number: 875, Binary: 1101101011, Hexadecimal: 36B
Number: 577, Binary: 1001000001, Hexadecimal: 241
Number: 870, Binary: 1101100110, Hexadecimal: 366
Number: 671, Binary: 1010011111, Hexadecimal: 29F
Number: 38, Binary: 100110, Hexadecimal: 26
Number: 555, Binary: 1000101011, Hexadecimal: 22B
Number: 452, Binary: 111000100, Hexadecimal: 1C4
Number: 81, Binary: 1010001, Hexadecimal: 51
Number: 115, Binary: 1110011, Hexadecimal: 73
Number: 705, Binary: 1011000001, Hexadecimal: 2C1
Number: 921, Binary: 1110011001, Hexadecimal: 399
Number: 697, Binary: 1010111001, Hexadecimal: 2B9
Number: 224, Binary: 11100000, Hexadecimal: E0
Number: 959, Binary: 1110111111, Hexadecimal: 3BF
Number: 291, Binary: 100100011, Hexadecimal: 123
Number: 512, Binary: 1000000000, Hexadecimal: 200
Number: 333, Binary: 101001101, Hexadecimal: 14D
Number: 271, Binary: 100001111, Hexadecimal: 10F
Number: 999, Binary: 1111100111, Hexadecimal: 3E7
Number: 808, Binary: 1100101000, Hexadecimal: 328
Number: 153, Binary: 10011001, Hexadecimal: 99
Number: 69, Binary: 1000101, Hexadecimal: 45
Number: 994, Binary: 1111100010, Hexadecimal: 3E2
Number: 184, Binary: 10111000, Hexadecimal: B8
Number: 236, Binary: 11101100, Hexadecimal: EC
Number: 996, Binary: 1111100100, Hexadecimal: 3E4
Number: 67, Binary: 1000011, Hexadecimal: 43
Number: 420, Binary: 110100100, Hexadecimal: 1A4
Number: 399, Binary: 110001111, Hexadecimal: 18F
Number: 211, Binary: 11010011, Hexadecimal: D3
Number: 95, Binary: 1011111, Hexadecimal: 5F
Number: 450, Binary: 111000010, Hexadecimal: 1C2
Number: 888, Binary: 1101111000, Hexadecimal: 378
Number: 990, Binary: 1111011110, Hexadecimal: 3DE
Number: 929, Binary: 1110100001, Hexadecimal: 3A1
Number: 117, Binary: 1110101, Hexadecimal: 75
Number: 435, Binary: 110110011, Hexadecimal: 1B3
Number: 717, Binary: 1011001101, Hexadecimal: 2CD
Number: 970, Binary: 1111001010, Hexadecimal: 3CA
Number: 766, Binary: 1011111110, Hexadecimal: 2FE
Number: 736, Binary: 1011100000, Hexadecimal: 2E0
Number: 383, Binary: 101111111, Hexadecimal: 17F
Number: 623, Binary: 1001101111, Hexadecimal: 26F
Number: 89, Binary: 1011001, Hexadecimal: 59
Number: 273, Binary: 100010001, Hexadecimal: 111
Number: 256, Binary: 100000000, Hexadecimal: 100
Number: 972, Binary: 1111001100, Hexadecimal: 3CC
